Date,Open,High,Low,Close,Adj Close,Volume
2018-02-09,17.799999,18.139999,17.415001,17.530001,17.530001,4682069
2018-02-12,17.735001,17.965,17.514999,17.584999,17.584999,3120827
2018-02-13,17.57,17.695,17.48,17.530001,17.530001,2083839
2018-02-14,17.65,17.965,17.504999,17.815001,17.815001,3434063
2018-02-15,18.035,18.33,17.85,17.9,17.9,3251529
2018-02-16,18.049999,18.254999,17.959999,18.045,18.045,3276416
2018-02-20,17.855,17.965,17.655001,17.9,17.9,2437005
2018-02-21,17.92,17.924999,17.655001,17.785,17.785,1485652
2018-02-22,17.629999,18.045,17.48,17.950001,17.950001,3411543
2018-02-23,18.0,18.125,17.805,17.93,17.93,2834178
2018-02-26,17.99,18.17,17.945,18.045,18.045,2042605
2018-02-27,18.125,18.315001,18.014999,18.195,18.195,3075203
2018-02-28,18.075001,18.67,18.065001,18.615,18.615,4524067
2018-03-01,19.450001,20.15,19.08,19.450001,19.450001,10170693
2018-03-02,19.465,19.555,18.870001,19.059999,19.059999,5995448
2018-03-05,18.92,19.49,18.879999,19.190001,19.190001,4930657
2018-03-06,19.434999,19.594999,19.215,19.254999,19.254999,4317310
2018-03-07,19.184999,19.434999,18.985001,19.1,19.1,4846239
2018-03-08,19.135,19.43,19.129999,19.295,19.295,2908159
2018-03-09,19.225,19.325001,19.129999,19.27,19.27,2334399
2018-03-12,19.360001,19.48,19.205,19.264999,19.264999,1899896
2018-03-13,19.280001,19.34,18.764999,18.889999,18.889999,3378743
2018-03-14,18.9,19.120001,18.844999,18.975,18.975,2002361
2018-03-15,19.115,19.195,18.950001,19.049999,19.049999,2352214
2018-03-16,19.075001,19.15,18.975,18.995001,18.995001,2797371
2018-03-19,19.059999,19.08,18.73,18.809999,18.809999,2240261
2018-03-20,18.805,18.98,18.700001,18.815001,18.815001,1687240
2018-03-21,18.785,18.940001,18.75,18.77,18.77,2264858
2018-03-22,18.629999,18.950001,18.34,18.615,18.615,2773642
2018-03-23,18.385,18.639999,18.115,18.610001,18.610001,2791062
2018-03-26,18.655001,18.99,18.584999,18.83,18.83,2517186
2018-03-27,19.145,19.200001,18.815001,18.955,18.955,2505163
2018-03-28,18.825001,18.93,18.594999,18.91,18.91,2517822
2018-03-29,18.99,19.645,18.975,19.549999,19.549999,5189469
2018-04-03,19.450001,19.639999,19.245001,19.43,19.43,3413024
2018-04-04,19.514999,19.555,19.129999,19.514999,19.514999,2808095
2018-04-05,19.82,19.969999,19.764999,19.895,19.895,2654131
2018-04-06,19.875,20.01,19.66,19.985001,19.985001,2312008
2018-04-09,20.01,20.09,19.66,19.76,19.76,2097185
